DoT,Material,Material ID,Weld ID,"WRC 
Cr/Ni Eq.","Hammar 
and 
Svensson 
Cr/Ni Eq.","Suutala 
Cr/Ni Eq.","Power 
(W)",Set Power (W),"Travel 
Speed
(mm/sec)","Beam 
Diameter 
(mm)","Computed
D86
(mm)","Computed D2M
(mm)","Power 
Density 
(kW/mm2)","Interaction 
Time
(ms)","Specific 
Point 
Energy 
(J)","Energy Density
(J/mm2)","Weld 
Depth
(mm)","Weld Toe 
Width
(mm)","Centroid
Weld 
Width
(mm)","FWHM 
Weld 
Width
(mm)","X-Sec
FZ Area
(mm2)","Fusion 
Boundary 
Length  
(mm)","Total Perimeter Length  
(mm)","Aspect Ratio  
(D/W)"
28-Nov-20,304L,M2P1C6,A,1.7,1.8,2.0,1600,1750,150,0.6,572,608,5.7,4,6,11,0.46,0.87,0.76,0.69,0.29,1.32,2.24,0.53
28-Nov-20,304L,M2P1C6,B,1.7,1.8,2.0,1600,1750,100,0.6,572,608,5.7,6,10,16,0.58,1.00,0.85,0.75,0.41,1.58,2.64,0.58
28-Nov-20,304L,M2P1C6,C,1.7,1.8,2.0,1600,1750,50,0.6,572,608,5.7,12,19,32,1.76,1.30,0.69,0.60,1.30,3.94,5.30,1.35
28-Nov-20,304L,M2P1C6,D,1.7,1.8,2.0,1600,1750,25,0.6,572,608,5.7,24,38,64,2.49,1.86,0.88,0.74,2.57,5.64,7.64,1.34
8-Dec-20,304L,M2P1C7,A,1.7,1.8,2.0,800,870,50,0.6,557,607,2.8,12,10,16,0.23,0.89,0.80,0.75,0.16,1.02,1.96,0.26
8-Dec-20,304L,M2P1C7,B,1.7,1.8,2.0,1200,1310,50,0.6,561,607,4.2,12,14,24,1.16,1.32,0.83,0.61,0.87,2.77,4.14,0.88
8-Dec-20,304L,M2P1C7,C,1.7,1.8,2.0,2000,2190,50,0.6,573,611,7.1,12,24,40,2.26,1.62,0.68,0.66,1.84,5.03,6.83,1.40
8-Dec-20,304L,M2P1C7,D,1.7,1.8,2.0,2400,2630,50,0.6,608,612,8.5,12,29,48,2.73,1.56,0.72,0.68,2.19,5.98,7.69,1.74
5-Feb-21,304L,M2P1C8,E,1.7,1.8,2.0,800,870,25,0.6,557,607,2.8,24,19,32,0.88,1.54,1.16,0.82,0.77,2.31,3.94,0.57
5-Feb-21,304L,M2P1C8,F,1.7,1.8,2.0,800,870,10,0.6,557,607,2.8,60,48,80,1.35,2.40,1.79,1.03,1.72,3.75,6.25,0.56
5-Feb-21,304L,M2P1C8,G,1.7,1.8,2.0,800,870,5,0.6,557,607,2.8,120,96,160,1.64,3.04,2.48,1.38,2.69,4.76,7.89,0.54
5-Feb-21,304L,M2P1C8,H,1.7,1.8,2.0,1200,1310,25,0.6,561,607,4.2,24,29,48,1.82,1.92,0.95,0.68,1.82,4.39,6.45,0.95
5-Feb-21,304L,M2P1C8,I,1.7,1.8,2.0,1200,1310,10,0.6,561,607,4.2,60,72,120,2.32,2.93,2.04,1.18,4.01,5.93,9.02,0.79
11-Feb-21,304L,M2P1C4,A,1.7,1.8,2.0,1200,1310,100,0.6,561,607,4.2,6,7,12,0.37,0.91,0.73,0.67,0.24,1.18,2.13,0.41
11-Feb-21,304L,M2P1C4,B,1.7,1.8,2.0,1000,1090,50,0.6,561,607,3.5,12,12,20,0.69,1.16,0.89,0.73,0.49,1.79,3.00,0.59
11-Feb-21,304L,M2P1C4,C,1.7,1.8,2.0,1000,1090,25,0.6,561,607,3.5,24,24,40,1.38,1.73,0.98,0.68,1.29,3.37,5.23,0.80
11-Feb-21,304L,M2P1C4,D,1.7,1.8,2.0,1000,1090,10,0.6,561,607,3.5,60,60,100,1.80,2.90,2.15,0.99,2.80,5.01,8.07,0.62
11-Feb-21,304L,M2P1C4,E,1.7,1.8,2.0,1000,1090,5,0.6,561,607,3.5,120,120,200,2.08,3.74,3.41,2.42,4.82,6.08,10.04,0.56
12-Apr-21,304L,M2P1C2,A,1.7,1.8,2.0,1600,1750,75,0.6,561,607,5.7,8,13,21,0.87,1.42,1.00,0.81,0.75,2.25,3.74,0.61
12-Apr-21,304L,M2P1C2,B,1.7,1.8,2.0,2000,2190,150,0.6,561,607,7.1,4,8,13,0.50,1.01,0.78,0.68,0.34,1.45,2.51,0.50
12-Apr-21,304L,M2P1C2,C,1.7,1.8,2.0,2000,2190,100,0.6,561,607,7.1,6,12,20,0.81,1.30,0.95,0.80,0.67,2.08,3.47,0.62
12-Apr-21,304L,M2P1C2,D,1.7,1.8,2.0,2000,2190,75,0.6,561,607,7.1,8,16,27,1.20,1.54,1.03,0.91,1.18,2.89,4.56,0.78
12-Apr-21,304L,M2P1C2,E,1.7,1.8,2.0,2400,2630,150,0.6,561,607,8.5,4,10,16,0.68,1.13,0.87,0.73,0.51,1.78,2.98,0.61
12-Apr-21,304L,M2P1C2,F,1.7,1.8,2.0,2400,2630,100,0.6,561,607,8.5,6,14,24,1.05,1.37,0.97,0.91,0.97,2.57,4.02,0.77
12-Apr-21,304L,M2P1C2,G,1.7,1.8,2.0,2400,2630,75,0.6,561,607,8.5,8,19,32,1.66,1.48,0.74,0.76,1.57,4.01,5.61,1.12
3-Feb-21,304L,M2P1C8,A,1.7,1.8,2.0,1600,1750,150,0.6,572,608,5.7,4,6,11,0.36,0.89,0.72,0.64,0.22,1.14,2.08,0.93
3-Feb-21,304L,M2P1C8,B,1.7,1.8,2.0,1600,1750,100,0.6,572,608,5.7,6,10,16,0.60,1.11,0.91,0.77,0.45,1.66,2.81,1.16
3-Feb-21,304L,M2P1C8,C,1.7,1.8,2.0,1600,1750,50,0.6,572,608,5.7,12,19,32,1.83,1.46,0.63,0.57,1.38,4.10,5.67,1.57
3-Feb-21,304L,M2P1C8,D,1.7,1.8,2.0,1600,1750,25,0.6,572,608,5.7,24,38,64,2.42,2.15,0.92,0.76,2.75,5.60,7.94,2.35
13-Apr-21,304L,M2P1C2,H,1.7,1.8,2.0,1000,1090,50,0.6,561,607,3.5,12,12,20,0.66,1.17,0.89,0.75,0.48,1.72,2.97,0.57
13-Apr-21,304L,M2P1C2,I,1.7,1.8,2.0,1000,1090,25,0.6,561,607,3.5,24,24,40,1.43,1.80,0.99,0.59,1.29,3.52,5.46,0.79
13-Apr-21,304L,M2P1C2,J,1.7,1.8,2.0,1000,1090,10,0.6,561,607,3.5,60,60,100,1.77,2.83,2.14,1.02,2.77,4.98,7.88,0.63
13-Apr-21,304L,M2P1C2,K,1.7,1.8,2.0,1000,1090,5,0.6,561,607,3.5,120,120,200,2.27,3.68,3.07,1.66,4.91,6.44,10.23,0.62
13-Apr-21,304L,M2P1C3,A,1.7,1.8,2.0,1200,1310,100,0.6,561,607,4.2,6,7,12,0.37,0.90,0.73,0.66,0.24,1.16,2.13,0.41
13-Apr-21,304L,M2P1C3,B,1.7,1.8,2.0,1200,1310,50,0.6,561,607,4.2,12,14,24,1.15,1.32,0.78,0.57,0.83,2.75,4.14,0.87
13-Apr-21,304L,M2P1C3,C,1.7,1.8,2.0,1200,1310,25,0.6,561,607,4.2,24,29,48,1.74,1.86,0.95,0.68,1.73,4.30,6.22,0.94
13-Apr-21,304L,M2P1C3,D,1.7,1.8,2.0,1200,1310,10,0.6,561,607,4.2,60,72,120,1.84,2.67,2.05,1.11,2.73,4.93,7.73,0.69
13-Apr-21,304L,M2P1C3,E,1.7,1.8,2.0,1600,1750,150,0.6,561,607,5.7,4,6,11,0.38,0.92,0.70,0.59,0.23,1.18,2.18,0.42
13-Apr-21,304L,M2P1C3,F,1.7,1.8,2.0,1600,1750,100,0.6,561,607,5.7,6,10,16,0.59,1.10,0.84,0.73,0.43,1.62,2.79,0.54
13-Apr-21,304L,M2P1C3,G,1.7,1.8,2.0,1600,1750,75,0.6,561,607,5.7,8,13,21,0.86,1.39,0.95,0.79,0.75,2.27,3.73,0.62
13-Apr-21,304L,M2P1C3,H,1.7,1.8,2.0,1600,1750,50,0.6,561,607,5.7,12,19,32,1.77,1.40,0.72,0.62,1.39,4.03,5.53,1.26
13-Apr-21,304L,M2P1C3,I,1.7,1.8,2.0,2000,2190,150,0.6,561,607,7.1,4,8,13,0.53,1.04,0.80,0.71,0.36,1.43,2.58,0.51
13-Apr-21,304L,M2P1C3,J,1.7,1.8,2.0,2000,2190,100,0.6,561,607,7.1,6,12,20,0.78,1.26,0.96,0.85,0.65,2.05,3.39,0.62
13-Apr-21,304L,M2P1C3,K,1.7,1.8,2.0,2000,2190,75,0.6,561,607,7.1,8,16,27,1.06,1.59,1.09,0.85,1.03,2.69,4.38,0.67
13-Apr-21,304L,M2P1C3,L,1.7,1.8,2.0,2000,2190,50,0.6,561,607,7.1,12,24,40,2.28,1.54,0.64,0.59,1.80,5.08,6.77,1.48
14-Apr-21,304L,M2P5C1,A,1.7,1.8,2.0,2400,2630,150,0.6,561,607,8.5,4,10,16,0.63,1.08,0.87,0.71,0.44,1.65,2.83,0.58
14-Apr-21,304L,M2P5C1,B,1.7,1.8,2.0,2400,2630,100,0.6,561,607,8.5,6,14,24,1.05,1.35,0.97,0.86,0.95,2.52,3.99,0.78
14-Apr-21,304L,M2P5C1,C,1.7,1.8,2.0,2400,2630,75,0.6,561,607,8.5,8,19,32,1.64,1.36,0.82,0.85,1.56,3.99,5.42,1.21
14-Apr-21,304L,M2P5C1,D,1.7,1.8,2.0,2400,2630,50,0.6,561,607,8.5,12,29,48,2.71,1.62,0.64,0.63,2.11,5.99,7.73,1.68
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
